Time,Channel1,Channel2,Channel3
5/22/2021 13:43,229,0,0
5/22/2021 13:44,232.8,0,0
5/22/2021 13:44,232.8,0,0
5/22/2021 13:45,237.9,0,0
5/22/2021 13:45,237.9,0,0
5/22/2021 13:46,200.2,0,0
5/22/2021 13:46,200.2,0,0
5/22/2021 13:46,0,38.7,0
5/22/2021 13:46,0,38.7,37
5/22/2021 13:46,0,0,37
5/22/2021 13:47,205.9,0,0
5/22/2021 13:47,205.9,0,0
5/22/2021 13:47,0,37.1,0
5/22/2021 13:47,0,37.1,35.3
5/22/2021 13:47,0,0,35.3
5/22/2021 13:48,230,0,0
5/22/2021 13:48,230,0,0
5/22/2021 13:48,0,36.9,0
5/22/2021 13:48,0,36.9,35.2
5/22/2021 13:48,0,0,35.2
5/22/2021 13:49,239.6,0,0
5/22/2021 13:49,239.6,0,0
5/22/2021 13:49,0,36.9,0
5/22/2021 13:49,0,36.9,35.3
5/22/2021 13:49,0,0,35.3
5/22/2021 13:50,242.4,0,0
5/22/2021 13:50,242.4,0,0
5/22/2021 13:50,0,37.2,0
5/22/2021 13:50,0,37.2,35.2
5/22/2021 13:50,0,0,35.2
5/22/2021 13:51,243.1,0,0
5/22/2021 13:51,243.1,0,0
5/22/2021 13:51,0,37.5,0
5/22/2021 13:51,0,37.5,35.2
5/22/2021 13:51,0,0,35.2
5/22/2021 13:52,242.6,0,0
5/22/2021 13:52,242.6,0,0
5/22/2021 13:52,0,37.9,0
5/22/2021 13:52,0,37.9,35.6
5/22/2021 13:52,0,0,35.6
5/22/2021 13:53,241.7,0,0
5/22/2021 13:53,241.7,0,0
5/22/2021 13:53,0,38.4,0
5/22/2021 13:53,0,38.4,35.7
5/22/2021 13:53,0,0,35.7
5/22/2021 13:54,241.4,0,0
5/22/2021 13:54,241.4,0,0
5/22/2021 13:54,0,39.1,0
5/22/2021 13:54,0,39.1,36
5/22/2021 13:54,0,0,36
5/22/2021 13:55,242.1,0,0
5/22/2021 13:55,242.1,0,0
5/22/2021 13:55,0,39.9,0
5/22/2021 13:55,0,39.9,36
5/22/2021 13:55,0,0,36
5/22/2021 13:56,241.9,0,0
5/22/2021 13:56,241.9,0,0
5/22/2021 13:56,0,40.6,0
5/22/2021 13:56,0,40.6,36.4
5/22/2021 13:56,0,0,36.4
5/22/2021 13:57,242.1,0,0
5/22/2021 13:57,242.1,0,0
5/22/2021 13:57,0,41.4,0
5/22/2021 13:57,0,41.4,36.7
5/22/2021 13:57,0,0,36.7
5/22/2021 13:58,240.4,0,0
5/22/2021 13:58,240.4,0,0
5/22/2021 13:58,0,42.2,0
5/22/2021 13:58,0,42.2,37.1
5/22/2021 13:58,0,0,37.1
5/22/2021 13:59,240.2,0,0
5/22/2021 13:59,240.2,0,0
5/22/2021 13:59,0,43.1,0
5/22/2021 13:59,0,43.1,37.6
5/22/2021 13:59,0,0,37.6
5/22/2021 14:00,240.1,0,0
5/22/2021 14:00,240.1,0,0
5/22/2021 14:00,0,44.1,0
5/22/2021 14:00,0,44.1,38
5/22/2021 14:00,0,0,38
5/22/2021 14:01,239.8,0,0
5/22/2021 14:01,239.8,0,0
5/22/2021 14:01,0,45.1,0
5/22/2021 14:01,0,45.1,38.5
5/22/2021 14:01,0,0,38.5
5/22/2021 14:02,239.9,0,0
5/22/2021 14:02,239.9,0,0
5/22/2021 14:02,0,46,0
5/22/2021 14:02,0,46,39.2
5/22/2021 14:02,0,0,39.2
5/22/2021 14:03,240.4,0,0
5/22/2021 14:03,240.4,0,0
5/22/2021 14:03,0,47.1,0
5/22/2021 14:03,0,47.1,39.8
5/22/2021 14:03,0,0,39.8
5/22/2021 14:04,240.8,0,0
5/22/2021 14:04,240.8,0,0
5/22/2021 14:04,0,48.2,0
5/22/2021 14:04,0,48.2,40.4
5/22/2021 14:04,0,0,40.4
5/22/2021 14:05,241.3,0,0
5/22/2021 14:05,241.3,0,0
5/22/2021 14:05,0,49.4,0
5/22/2021 14:05,0,49.4,41.1
5/22/2021 14:05,0,0,41.1
5/22/2021 14:06,241.7,0,0
5/22/2021 14:06,241.7,0,0
5/22/2021 14:06,0,50.5,0
5/22/2021 14:06,0,50.5,41.9
5/22/2021 14:06,0,0,41.9
5/22/2021 14:07,242.3,0,0
5/22/2021 14:07,242.3,0,0
5/22/2021 14:07,0,51.8,0
5/22/2021 14:07,0,51.8,42.7
5/22/2021 14:07,0,0,42.7
5/22/2021 14:08,243.4,0,0
5/22/2021 14:08,243.4,0,0
5/22/2021 14:08,0,52.9,0
5/22/2021 14:08,0,52.9,43.4
5/22/2021 14:08,0,0,43.4
5/22/2021 14:09,242.5,0,0
5/22/2021 14:09,242.5,0,0
5/22/2021 14:09,0,54.2,0
5/22/2021 14:09,0,54.2,44.3
5/22/2021 14:09,0,0,44.3
5/22/2021 14:10,242.1,0,0
5/22/2021 14:10,242.1,0,0
5/22/2021 14:10,0,55.6,0
5/22/2021 14:10,0,55.6,45.4
5/22/2021 14:10,0,0,45.4
5/22/2021 14:11,243.3,0,0
5/22/2021 14:11,243.3,0,0
5/22/2021 14:11,0,56.8,0
5/22/2021 14:11,0,56.8,46.1
5/22/2021 14:11,0,0,46.1
5/22/2021 14:12,244,0,0
5/22/2021 14:12,244,0,0
5/22/2021 14:12,0,58.2,0
5/22/2021 14:12,0,58.2,47.1
5/22/2021 14:12,0,0,47.1
5/22/2021 14:13,244.3,0,0
5/22/2021 14:13,244.3,0,0
5/22/2021 14:13,0,59.4,0
5/22/2021 14:13,0,59.4,48.1
5/22/2021 14:13,0,0,48.1
5/22/2021 14:14,244.7,0,0
5/22/2021 14:14,244.7,0,0
5/22/2021 14:14,0,60.7,0
5/22/2021 14:14,0,60.7,49.1
5/22/2021 14:14,0,0,49.1
5/22/2021 14:15,245.2,0,0
5/22/2021 14:15,245.2,0,0
5/22/2021 14:15,0,62.1,0
5/22/2021 14:15,0,62.1,50.2
5/22/2021 14:15,0,0,50.2
5/22/2021 14:16,244.8,0,0
5/22/2021 14:16,244.8,0,0
5/22/2021 14:16,0,63.3,0
5/22/2021 14:16,0,63.3,51.2
5/22/2021 14:16,0,0,51.2
5/22/2021 14:17,245.3,0,0
5/22/2021 14:17,245.3,0,0
5/22/2021 14:17,0,64.5,0
5/22/2021 14:17,0,64.5,52.3
5/22/2021 14:17,0,0,52.3
5/22/2021 14:18,246.1,0,0
5/22/2021 14:18,246.1,0,0
5/22/2021 14:18,0,65.6,0
5/22/2021 14:18,0,65.6,53.3
5/22/2021 14:18,0,0,53.3
5/22/2021 14:19,247.7,0,0
5/22/2021 14:19,247.7,0,0
5/22/2021 14:19,0,66.9,0
5/22/2021 14:19,0,66.9,54.4
5/22/2021 14:19,0,0,54.4
5/22/2021 14:20,248.1,0,0
5/22/2021 14:20,248.1,0,0
5/22/2021 14:20,0,68.1,0
5/22/2021 14:20,0,68.1,55.6
5/22/2021 14:20,0,0,55.6
5/22/2021 14:21,248.8,0,0
5/22/2021 14:21,248.8,0,0
5/22/2021 14:21,0,69.2,0
5/22/2021 14:21,0,69.2,56.7
5/22/2021 14:21,0,0,56.7
5/22/2021 14:22,249.4,0,0
5/22/2021 14:22,249.4,0,0
5/22/2021 14:22,0,70.3,0
5/22/2021 14:22,0,70.3,57.9
5/22/2021 14:22,0,0,57.9
5/22/2021 14:23,249.8,0,0
5/22/2021 14:23,249.8,0,0
5/22/2021 14:23,0,71.5,0
5/22/2021 14:23,0,71.5,59.1
5/22/2021 14:23,0,0,59.1
5/22/2021 14:24,249.2,0,0
5/22/2021 14:24,249.2,0,0
5/22/2021 14:24,0,72.6,0
5/22/2021 14:24,0,72.6,60.3
5/22/2021 14:24,0,0,60.3
5/22/2021 14:25,248.1,0,0
5/22/2021 14:25,248.1,0,0
5/22/2021 14:25,0,73.8,0
5/22/2021 14:25,0,73.8,61.5
5/22/2021 14:25,0,0,61.5
5/22/2021 14:26,248.5,0,0
5/22/2021 14:26,248.5,0,0
5/22/2021 14:26,0,74.9,0
5/22/2021 14:26,0,74.9,62.7
5/22/2021 14:26,0,0,62.7
5/22/2021 14:27,248.9,0,0
5/22/2021 14:27,248.9,0,0
5/22/2021 14:27,0,76,0
5/22/2021 14:27,0,76,63.8
5/22/2021 14:27,0,0,63.8
5/22/2021 14:28,249.2,0,0
5/22/2021 14:28,249.2,0,0
5/22/2021 14:28,0,77.1,0
5/22/2021 14:28,0,77.1,65.1
5/22/2021 14:28,0,0,65.1
5/22/2021 14:29,249.4,0,0
5/22/2021 14:29,249.4,0,0
5/22/2021 14:29,0,78.1,0
5/22/2021 14:29,0,78.1,66.3
5/22/2021 14:29,0,0,66.3
5/22/2021 14:30,250.4,0,0
5/22/2021 14:30,250.4,0,0
5/22/2021 14:30,0,79.2,0
5/22/2021 14:30,0,79.2,67.5
5/22/2021 14:30,0,0,67.5
5/22/2021 14:31,251,0,0
5/22/2021 14:31,251,0,0
5/22/2021 14:31,0,80.2,0
5/22/2021 14:31,0,80.2,68.6
5/22/2021 14:31,0,0,68.6
5/22/2021 14:32,251.2,0,0
5/22/2021 14:32,251.2,0,0
5/22/2021 14:32,0,81.2,0
5/22/2021 14:32,0,81.2,69.8
5/22/2021 14:32,0,0,69.8
5/22/2021 14:33,250.6,0,0
5/22/2021 14:33,250.6,0,0
5/22/2021 14:33,0,82.3,0
5/22/2021 14:33,0,82.3,70.9
5/22/2021 14:33,0,0,70.9
5/22/2021 14:34,250.4,0,0
5/22/2021 14:34,250.4,0,0
5/22/2021 14:34,0,83.3,0
5/22/2021 14:34,0,83.3,72.1
5/22/2021 14:34,0,0,72.1
5/22/2021 14:35,250.5,0,0
5/22/2021 14:35,250.5,0,0
5/22/2021 14:35,0,84.3,0
5/22/2021 14:35,0,84.3,73.3
5/22/2021 14:35,0,0,73.3
5/22/2021 14:36,250.6,0,0
5/22/2021 14:36,250.6,0,0
5/22/2021 14:36,0,85.3,0
5/22/2021 14:36,0,85.3,74.4
5/22/2021 14:36,0,0,74.4
5/22/2021 14:37,248.9,0,0
5/22/2021 14:37,248.9,0,0
5/22/2021 14:37,0,86.4,0
5/22/2021 14:37,0,86.4,75.5
5/22/2021 14:37,0,0,75.5
5/22/2021 14:38,248.9,0,0
5/22/2021 14:38,248.9,0,0
5/22/2021 14:38,0,87.4,0
5/22/2021 14:38,0,87.4,76.6
5/22/2021 14:38,0,0,76.6
5/22/2021 14:39,249.5,0,0
5/22/2021 14:39,249.5,0,0
5/22/2021 14:39,0,88.4,0
5/22/2021 14:39,0,88.4,77.8
5/22/2021 14:39,0,0,77.8
5/22/2021 14:40,249.7,0,0
5/22/2021 14:40,249.7,0,0
5/22/2021 14:40,0,89.4,0
5/22/2021 14:40,0,89.4,78.9
5/22/2021 14:40,0,0,78.9
5/22/2021 14:41,249.7,0,0
5/22/2021 14:41,249.7,0,0
5/22/2021 14:41,0,90.5,0
5/22/2021 14:41,0,90.5,80
5/22/2021 14:41,0,0,80
5/22/2021 14:42,249.1,0,0
5/22/2021 14:42,249.1,0,0
5/22/2021 14:42,0,91.5,0
5/22/2021 14:42,0,91.5,81.1
5/22/2021 14:42,0,0,81.1
5/22/2021 14:43,248.5,0,0
5/22/2021 14:43,248.5,0,0
5/22/2021 14:43,0,92.5,0
5/22/2021 14:43,0,92.5,82.2
5/22/2021 14:43,0,0,82.2
5/22/2021 14:44,248.5,0,0
5/22/2021 14:44,248.5,0,0
5/22/2021 14:44,0,93.5,0
5/22/2021 14:44,0,93.5,83.3
5/22/2021 14:44,0,0,83.3
5/22/2021 14:45,248.8,0,0
5/22/2021 14:45,248.8,0,0
5/22/2021 14:45,0,94.5,0
5/22/2021 14:45,0,94.5,84.4
5/22/2021 14:45,0,0,84.4
5/22/2021 14:46,249.5,0,0
5/22/2021 14:46,249.5,0,0
5/22/2021 14:46,0,95.5,0
5/22/2021 14:46,0,95.5,85.5
5/22/2021 14:46,0,0,85.5
5/22/2021 14:47,250.2,0,0
5/22/2021 14:47,250.2,0,0
5/22/2021 14:47,0,96.5,0
5/22/2021 14:47,0,96.5,86.5
5/22/2021 14:47,0,0,86.5
5/22/2021 14:48,249.2,0,0
5/22/2021 14:48,249.2,0,0
5/22/2021 14:48,0,97.4,0
5/22/2021 14:48,0,97.4,87.6
5/22/2021 14:48,0,0,87.6
5/22/2021 14:49,248.8,0,0
5/22/2021 14:49,248.8,0,0
5/22/2021 14:49,0,98.4,0
5/22/2021 14:49,0,98.4,88.6
5/22/2021 14:49,0,0,88.6
5/22/2021 14:50,248.6,0,0
5/22/2021 14:50,248.6,0,0
5/22/2021 14:50,0,99.3,0
5/22/2021 14:50,0,99.3,89.8
5/22/2021 14:50,0,0,89.8
5/22/2021 14:51,248.7,0,0
5/22/2021 14:51,248.7,0,0
5/22/2021 14:51,0,100.2,0
5/22/2021 14:51,0,100.2,90.8
5/22/2021 14:51,0,0,90.8
5/22/2021 14:52,248.7,0,0
5/22/2021 14:52,248.7,0,0
5/22/2021 14:52,0,101.1,0
5/22/2021 14:52,0,101.1,91.8
5/22/2021 14:52,0,0,91.8
5/22/2021 14:53,248.5,0,0
5/22/2021 14:53,248.5,0,0
5/22/2021 14:53,0,102,0
5/22/2021 14:53,0,102,92.8
5/22/2021 14:53,0,0,92.8
5/22/2021 14:54,248.7,0,0
5/22/2021 14:54,248.7,0,0
5/22/2021 14:54,0,102.8,0
5/22/2021 14:54,0,102.8,93.8
5/22/2021 14:54,0,0,93.8
5/22/2021 14:55,248.5,0,0
5/22/2021 14:55,248.5,0,0
5/22/2021 14:55,0,103.7,0
5/22/2021 14:55,0,103.7,94.8
5/22/2021 14:55,0,0,94.8
5/22/2021 14:56,248.2,0,0
5/22/2021 14:56,248.2,0,0
5/22/2021 14:56,0,104.6,0
5/22/2021 14:56,0,104.6,95.8
5/22/2021 14:56,0,0,95.8
5/22/2021 14:57,247.8,0,0
5/22/2021 14:57,247.8,0,0
5/22/2021 14:57,0,105.4,0
5/22/2021 14:57,0,105.4,96.8
5/22/2021 14:57,0,0,96.8
5/22/2021 14:58,247,0,0
5/22/2021 14:58,247,0,0
5/22/2021 14:58,0,106.2,0
5/22/2021 14:58,0,106.2,97.7
5/22/2021 14:58,0,0,97.7
5/22/2021 14:59,247.2,0,0
5/22/2021 14:59,247.2,0,0
5/22/2021 14:59,0,107,0
5/22/2021 14:59,0,107,98.7
5/22/2021 14:59,0,0,98.7
5/22/2021 15:00,247.4,0,0
5/22/2021 15:00,247.4,0,0
5/22/2021 15:00,0,107.8,0
5/22/2021 15:00,0,107.8,99.5
5/22/2021 15:00,0,0,99.5
5/22/2021 15:01,248.1,0,0
5/22/2021 15:01,248.1,0,0
5/22/2021 15:01,0,108.6,0
5/22/2021 15:01,0,108.6,100.5
5/22/2021 15:01,0,0,100.5
5/22/2021 15:02,248.5,0,0
5/22/2021 15:02,248.5,0,0
5/22/2021 15:02,0,109.3,0
5/22/2021 15:02,0,109.3,101.4
5/22/2021 15:02,0,0,101.4
5/22/2021 15:03,248.2,0,0
5/22/2021 15:03,248.2,0,0
5/22/2021 15:03,0,110.1,0
5/22/2021 15:03,0,110.1,102.2
5/22/2021 15:03,0,0,102.2
5/22/2021 15:04,248,0,0
5/22/2021 15:04,248,0,0
5/22/2021 15:04,0,110.9,0
5/22/2021 15:04,0,110.9,103.1
5/22/2021 15:04,0,0,103.1
5/22/2021 15:05,247.8,0,0
5/22/2021 15:05,247.8,0,0
5/22/2021 15:05,0,111.6,0
5/22/2021 15:05,0,111.6,104
5/22/2021 15:05,0,0,104
5/22/2021 15:06,247.7,0,0
5/22/2021 15:06,247.7,0,0
5/22/2021 15:06,0,112.4,0
5/22/2021 15:06,0,112.4,104.8
5/22/2021 15:06,0,0,104.8
5/22/2021 15:07,247.5,0,0
5/22/2021 15:07,247.5,0,0
5/22/2021 15:07,0,113.1,0
5/22/2021 15:07,0,113.1,105.6
5/22/2021 15:07,0,0,105.6
5/22/2021 15:08,247.5,0,0
5/22/2021 15:08,247.5,0,0
5/22/2021 15:08,0,113.8,0
5/22/2021 15:08,0,113.8,106.4
5/22/2021 15:08,0,0,106.4
5/22/2021 15:09,248.3,0,0
5/22/2021 15:09,248.3,0,0
5/22/2021 15:09,0,114.5,0
5/22/2021 15:09,0,114.5,107.2
5/22/2021 15:09,0,0,107.2
5/22/2021 15:10,249.7,0,0
5/22/2021 15:10,249.7,0,0
5/22/2021 15:10,0,115.2,0
5/22/2021 15:10,0,115.2,108
5/22/2021 15:10,0,0,108
5/22/2021 15:11,251.7,0,0
5/22/2021 15:11,251.7,0,0
5/22/2021 15:11,0,115.9,0
5/22/2021 15:11,0,115.9,108.8
5/22/2021 15:11,0,0,108.8
5/22/2021 15:12,252.4,0,0
5/22/2021 15:12,252.4,0,0
